Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Louisville,Weekly,"2022-01-16 00:00:00",Organic,1.532791759,6415.04,680.00,4223.02,0.00,1512.02,,,
"Miami/Ft. Lauderdale",Weekly,"2022-01-16 00:00:00",Conventional,1.299227681,856506.39,563533.13,62861.42,5761.99,224346.47,,,
"Miami/Ft. Lauderdale",Weekly,"2022-01-16 00:00:00",Organic,1.017895496,130991.19,15246.61,810.60,0.00,114933.99,,,
Midsouth,Weekly,"2022-01-16 00:00:00",Conventional,1.226252638,4235877.59,1979600.70,784596.12,32314.20,1439366.58,,,
Midsouth,Weekly,"2022-01-16 00:00:00",Organic,1.607787436,230145.69,8107.14,57843.24,91.61,164103.70,,,
Nashville,Weekly,"2022-01-16 00:00:00",Conventional,1.185156772,337879.20,194106.64,42452.98,1191.23,100128.34,,,
Nashville,Weekly,"2022-01-16 00:00:00",Organic,1.556881516,18916.59,1162.82,9799.47,0.00,7954.30,,,
"New Orleans/Mobile",Weekly,"2022-01-16 00:00:00",Conventional,1.021499387,311239.67,166430.50,21409.99,1562.38,121836.80,,,
"New Orleans/Mobile",Weekly,"2022-01-16 00:00:00",Organic,1.246294403,15188.76,1186.46,13.96,0.00,13988.33,,,
"New York",Weekly,"2022-01-16 00:00:00",Conventional,1.406071317,2133181.84,756692.92,709565.19,5956.17,660967.56,,,
"New York",Weekly,"2022-01-16 00:00:00",Organic,1.763466615,119175.29,17221.84,9306.72,9.36,92637.36,,,
Northeast,Weekly,"2022-01-16 00:00:00",Conventional,1.348432021,5894494.29,2062651.40,2039863.14,22540.79,1769438.98,,,
Northeast,Weekly,"2022-01-16 00:00:00",Organic,1.754503585,300354.64,33025.29,23275.64,11.74,244041.98,,,
"Northern New England",Weekly,"2022-01-16 00:00:00",Conventional,1.191520175,537420.90,243481.42,193114.51,999.48,99825.50,,,
"Northern New England",Weekly,"2022-01-16 00:00:00",Organic,1.957572646,15907.85,2419.82,526.80,0.00,12961.23,,,
Orlando,Weekly,"2022-01-16 00:00:00",Conventional,1.344792771,461063.10,270549.75,34246.91,6543.36,149720.39,,,
Orlando,Weekly,"2022-01-16 00:00:00",Organic,0.984861212,93065.37,9006.45,1024.08,0.00,83034.85,,,
Peoria/Springfield,Weekly,"2022-01-16 00:00:00",Conventional,1.033805233,135745.17,67754.33,27154.46,228.50,40607.87,,,
Peoria/Springfield,Weekly,"2022-01-16 00:00:00",Organic,1.425804536,4344.42,84.12,801.79,0.00,3458.51,,,
Philadelphia,Weekly,"2022-01-16 00:00:00",Conventional,1.325800777,617375.57,228041.11,138577.95,4271.21,246485.30,,,
